id,name,ammo,category,weight,price,description
1,.357 Magnum revolver,3,1, 2, 110,"The .357 Magnum revolver is a single action, fixed-cylinder revolver that fires .357 Magnum and .38 special rounds. It has an average firing rate but makes up for it with a somewhat more powerful damage output. Its fixed cylinder is reloaded by hand one round at a time through the loading gate, as such it can be interrupted mid-way through reloading and fired if needed. "
2,Lucky,3,1, 2.5, 1500,"Lucky is a unique version of the standard .357 Magnum revolver. It deals moderate damage and has a high fire-rate and Critical Chance and uses a low amount of Action Points. The barrel, frame and cylinder are made of a smooth black metal decorated with ornate gold etchings, and the polished ivory handle is inlaid with the clubs symbol. The word ""Lucky"" is engraved on the silver plate on the ejector tube."
3,.44 Magnum revolver,4,1, 3.5, 2500,"The .44 Magnum revolver is a double action, swing-out cylinder revolver, with a high damage output for a one-handed gun, but its ammunition is slightly rarer in the wasteland. Additionally, the .44 Magnum fires and reloads quickly, due to its speed-loader and ejector rod. It is, however, somewhat inaccurate with a spread of 0.7, on the high end of one-handed guns. It also has luminescent iron-sights. The .44 Magnum revolver is a very durable weapon that can be concealed with a Sneak skill of 50 or greater, as it is considered an improved holdout weapon."
4,Mysterious Magnum,4,1, 4, 3200,"The Mysterious Magnum is a .44 Magnum revolver that plays the Mysterious Stranger's theme whenever it is drawn or holstered. This revolver features a silver finish with intricate engravings etched all around the weapon, a pearlescent grip, higher damage, and a significantly faster firing rate than a normal .44 Magnum. It can also be concealed so long as one's Sneak skill is at least 50, making it an improved holdout weapon. Like most unique weapons, weapon modifications cannot be used on the Mysterious Magnum."
5,.45 Auto pistol,5,1, 1.5, 1750,"The .45 Auto pistol is a single-action, semi-automatic, magazine-fed handgun that utilizes .45 Auto ammunition. While the .45 AP improved sights modification was cut from the game, the sights are still present on the weapon's default model (pre- and post-modified versions). This gives the .45 Auto pistol luminescent sights, and as such, it is very effective in caves and dark areas."
6,A Light Shining in Darkness,5,1, 1.2, 4500,"A unique variant of the .45 Auto pistol with a much shorter barrel, it features a custom skeletonized hammer and trigger; commander length slide and a snake-skin grip, along with the etched Greek text ""καὶ τὸ φῶς ἐν τῇ σκοτίᾳ φαίνει (kaì tò phõs én tẽ skotía phaínei)"" on the right side and ""καὶ ἡ σκοτία αὐτὸ οὐ κατέλαβεν (kaì é skotía aútò oú katélaben)"" on the left side, which translates as ""And the light shineth in darkness and the darkness comprehended it not.""[1] It also has ""trench"" sights (a groove running along the top of the pistol which the player aims down), rather than having a rear notch and a front post."
7,5.56mm pistol,9,1, 5, 1200,"The 5.56mm pistol is the base variant of That Gun. When compared to That Gun, it is cleaner, has a more intact black finish, two small red LEDs on the side, and a large pale green LED on the back. Just like That Gun, the 5.56mm pistol is a heavily modified, pared down .223 pistol, successor to the same weapon from Fallout and Fallout 2. It weighs a hefty 5 pounds and has a motorized cylinder and crane for quicker shooting and reloading than a typical revolver. The green light on the left side turns yellow while reloading, then turns green and makes a ringing noise once the weapon has reloaded. The two variants of this weapon share the capability to use dedicated armor piercing rounds, a trait which is unique among pistols."
8,That Gun,9,1, 5, 1750,"That Gun is a heavily modified, pared down .223 pistol, successor to the same weapon from Fallout and Fallout 2. It weighs a hefty 5 pounds and has a motorized cylinder and crane for quicker shooting and reloading than a typical revolver. The green light on the left side turns yellow while reloading, then turns green and makes a ringing noise once the weapon has reloaded. Until the advent of the add-on Gun Runners' Arsenal, it had the unique capability of using dedicated armor piercing rounds, something that no other pistol in the game was capable of. That Gun is also the least expensive named rare gun that is available for purchase in Fallout: New Vegas."
9,9mm pistol,10,1, 1.5, 100,"The M&A 9mm pistol is one of the most common guns to be found early on in the game. It is very cheap to buy, utilizes very common ammunition, has no guns skill requirement, and has a very low Strength requirement in order to be handled effectively. It has three-dot luminescent front and rear iron-sights for better low-light fighting, and a minor idle sway."
10,Maria,10,1, 1.5, 1000,"A custom model of an M&A 9mm pistol made by M&A Guns Manufacturers, this weapon has an image of Our Lady of Guadalupe, a well known Catholic figure and a representation of the biblical Woman of the Apocalypse, painted on the pearl grips of the firearm. The entire body of the pistol is damascened with ivy and floral details, with a polished nickel finish and a golden trigger. It, along with Chance's knife, was responsible for a great number of Fiend deaths in the graphic novel All Roads. It is also the gun used by Benny to shoot the Courier in the Fallout: New Vegas introduction cinematic, and as such is owned by him."
11,10mm pistol,11,1, 3, 750,"Though it is easily obtained, the pistol is prone to breaking after a short period of use, so carefully-aimed shots are important. Its iron-sights are also slightly misaligned, with the front post being aligned slightly to the left of center. However, it does benefit from being considered an improved holdout weapon, and can be concealed and taken into weapon-free locations with a Sneak skill of 50 or greater."
12,Weathered 10mm pistol,11,1, 3, 1200,"Compared to the standard 10mm pistol, this weathered variant has cleaner and more subdued colors tending to gray. It does more damage than the standard 10mm pistol, and is far more durable. In addition, it has no Guns skill requirement for accurate use, compared to a Guns skill of 25 for the standard model. However, despite the standard 10mm pistol being classified as a holdout weapon, this pistol is not. For a weapon obtained at the start of the game, this pistol is a powerful, reliable weapon in most cases."
13,12.7mm pistol,12,1, 3.5, 4000,"The 12.7mm fires and reloads like a 9mm, but packs a more serious punch. This pistol has the third highest base damage-per-second of any non-energy pistol in Fallout: New Vegas, bested only by A Light Shining in Darkness (144.4) and Li'l Devil (GRA) (146.3). It takes a Guns skill of 75 and a Strength of 7 in order to take full advantage of the weapon. Its only drawbacks are its rather poor accuracy (it has the highest weapon spread of any pistol in the game, comparable to even some automatic weapons) and its lack of being a holdout weapon."
14,Li'l Devil,12,1, 3.2, 16000,"Li'l Devil is a unique variant of the 12.7mm pistol. It does greater damage, fires faster, has a greater chance of critical damage, has a lower AP cost and is more accurate. The barrel is also shorter, and has a black synthetic hand grip. Like most unique weapons, modifications cannot be applied."
15,Hunting revolver,6,1, 4, 3500,"The hunting revolver is a large, double-action revolver that fires .45-70 Gov't ammunition. It does a significant amount of damage and comes with a scope as standard, versus requiring a modification. The hunting revolver scope has decent magnification at 2.46x. Its base damage of 58 is the second highest of any non-energy pistol, and is surpassed only by the Ranger Sequoia, which has a base Damage of 62."
16,Ranger Sequoia,6,1, 4, 1200,"This large, double-action revolver is a rare, scopeless variant of the hunting revolver. It is used exclusively by the New California Republic Rangers, and is carried only by a NCR Veteran Ranger after 20 years of service. This revolver features a dark finish with intricate engravings etched all around the weapon. Engraved along the barrel are the words ""For Honorable Service,"" and ""Against All Tyrants."" The hand grip bears the symbol of the NCR Rangers, a bear, and a brass plate attached to the bottom that reads ""20 Years."""
17,Police pistol,3,1, 3, 1000,"The police pistol is a double action .357 revolver with a swing-out cylinder. It features a shorter barrel and a worn matte black (blued) finish. It lacks rear sights and has a shorter hammer with a flat, textured spur."
18,Silenced .22 pistol,1,1, 3, 80,"The silenced .22 pistol is a .22LR round handgun with an integrated silencer. It's classified as a silent weapon, and can be used to attack targets without alerting nearby creatures or NPCs to the player's presence. It also has bonuses to critical hit chance and critical hit damage, making it an effective stealth weapon in tandem with sneak attack criticals. It is a holdout weapon, and as such can be snuck into places where the player's weapons are confiscated. Along with Li'l Devil and the Police pistol, the silenced .22 pistol is one of only three guns that can be used as holdout weapons regardless of the player's Sneak skill."
19,Anti-materiel rifle,7,2, 20, 5600,"This weapon is a .50 caliber bolt-action sniper rifle that is designed for use against military equipment (or ""materiel"" in military terminology). The AMR is similar in design principle to that of a sniper rifle, delivering a high power shot at long distances with great accuracy, although chambered in a larger caliber for hardened targets. As such, the AMR has extremely high damage and low spread and comes pre-equipped with a scope. The magnification level of the scope is 3.13x. Offsetting this is its slow rate of fire, resulting in a low damage-per-second and that the weapon itself weighs 20 pounds, making it one of the heaviest shoulder fired weapons in the game."
20,Assault carbine,8,2, 6, 3950,"The assault carbine is a magazine-fed, compact automatic weapon with a high rate of fire and a comparatively low spread. It is one of the most accurate automatic weapons in the game, and can be effectively used in close and medium range combat. In V.A.T.S. mode, it will shoot a 5 round burst for a cost of 20 Action Points."
21,Automatic rifle,2,2, 16, 4500,"The automatic rifle is a powerful support weapon firing .308 caliber rounds. The weapon holds 20 rounds in a box magazine, has a higher base damage per shot than any other fully-automatic projectile weapon and a comparatively high critical chance."
22,Battle rifle,2,2, 9.5, 1500,"The battle rifle is the GRA variant of This Machine, a gas-operated, semi-automatic rifle chambered for the .308 round, utilizing an internal magazine fed with an en-bloc clip holding 8 rounds."
23,This Machine,2,2, 9.5, 2800,"This Machine is a unique battle rifle chambered in .308 caliber round, holding up to eight rounds at a time and is received in excellent condition thanks to Contreras' personal access to parts. Along the rifle's left side are the words ""WELL THIS MACHINE KILLS COMMIES,"" seeming to imply that this gun was used by American soldiers during the Resource Wars. This rifle is effective in short-to-mid range combat. However, long range combat is difficult because of the gun's relatively wide spread."
24,BB gun,0,2, 2, 36,"As an airgun designed for kids, the BB gun is the weakest gun in the game, even when boosted with the Cowboy perk. It has the notable quality of being silent."
25,Abilene Kid LE BB gun,0,2, 2, 500,"The Abilene Kid LE BB gun is a variant of the standard BB gun, on both sides of the weapon's stock is the inscription ""Abilene Kid ~Limited Edition~ 1 of 200."" Although it shows no significant differences to the standard version when examined in the Pip-Boy 3000, it has a slightly higher Critical Chance and a dramatically higher critical damage bonus, boasting an astounding 70 points of added damage for a critical hit. With the Better Criticals perk, a critical hit from the Abilene Kid LE BB gun is on par with one from a sniper rifle, doing 109 damage total compared to the sniper rifle's 113 and if the perk Just Lucky I'm Alive is also picked the critical hit gets a boost of 125% of damage making the Abilene Kid LE BB gun deal 157 points of damage."
26,Brush gun,6,2, 5, 4900,"One of the main rifles of the NCR Veteran Ranger, the brush gun is a lever-action rifle firing .45-70 Gov't ammunition. It has a semi-buckhorn[6] iron sight similar to the cowboy repeater and the trail carbine."
27,Medicine Stick,6,2, 5.5, 20000,"The Medicine Stick is a variant of the brush gun. It can hold 8 rounds of .45-70 Gov't, has an item HP of 200, an obstructive rear sight, and is clean in appearance. It also features a unique stock with a symbol similar in appearance to a Native American medicine wheel attached to its side. The Medicine Stick inflicts 78 damage in good condition and has a DPS of 108, which can get higher when factoring in perks."
28,Cowboy repeater,3,2, 5, 800,"The cowboy repeater is a lever-action rifle firing small-caliber .357 Magnum rounds. Its iron sights are similar to that of the brush gun and This Machine. Due to the gun having a tube magazine, it is reloaded by hand one bullet at a time, as such it can be interrupted mid-way through reloading and fired if needed. Because of this, it gives the gun the added advantage of being quickly available to fire again if only a single/few rounds are needed."
29,La Longue Carabine,3,2, 5, 1500,"A unique variant of the cowboy repeater, it has a scope which was mounted on the rifle by Corporal Sterling,[1] produces slightly more damage, and reloads faster as it does not load through the loading gate (it lacks one), but through the front of the magazine tube (similar to Lincoln's repeater). Also, the La Longue Carabine is more accurate than a regular cowboy repeater. This spread has been reduced greatly as a result of the patch 1.3.0.452, and it is now slightly more than that of the Marksman carbine."
30,Hunting rifle,2,2, 6, 2200,"The hunting rifle is very similar in appearance to the .32 caliber hunting rifle found in the Capital Wasteland, though differs from the .223 Colt Rangemaster seen previously in New California. Compared to its Capital Wasteland counterpart, it has an iron sight attached and is much more powerful per shot, due to the more powerful round used. This weapon's iron sights are lined with luminescent markers. This hunting rifle is less common than its Capital Wasteland counterpart, as is its ammunition."
31,Paciencia,2,2, 6.2, 12000,"Paciencia is a unique hunting rifle. It has a three-round magazine, but boasts higher damage than the regular variant, as well as higher item HP. Its main advantage over the standard variant is its extremely high critical damage, which is an astounding 110 points, equal to the anti-materiel rifle. Due to its bonus critical chance, critical hits will be more common. It also has a 3.5x magnification when looking down the rifle's iron sights, equivalent to a top-tier scope. However, like many unique weapons, Paciencia cannot be modified using standard hunting rifle mods."
32,Light machine gun,9,2, 15, 5200,"The light machine gun has a decent rate of fire, high magazine capacity, damage, and remarkably fast reload speed. The weapon has moderate spread unless aimed down sights. However, it is very hefty, weighing in at fifteen pounds. The weapon additionally has a Strength requirement of 8 and a Guns requirement of 100, making it difficult to wield. With the requirements and associated perks, this weapon is especially good for killing large packs of enemies, regardless of armor, due to its high rate of fire and its ability to chamber armor piercing ammunition."
33,Bozar,9,2, 15, 20000,"The Bozar is a powerful 5.56mm light machine gun with an ammunition capacity of 30. Although it appears to be a sniper weapon from its mounted scope, it is fully automatic. It has a lower damage per shot than the light machine gun. However, a higher rate of fire, the use of commonly available ammunition, low AP cost, a remarkably fast reload speed, a high DPS, and lower Spread make it a useful weapon for long and medium distances."
34,Marksman carbine,9,2, 6, 5200,"The marksman carbine is a semi-automatic, medium-power rifle with a 20-round magazine. Mounted with an enhanced-zoom scope that shares the same mil-dot reticle as the anti-materiel rifle and sniper rifle, it is highly accurate and deadly at long range with a Guns skill of 100. Additionally, it has a very low Action Point cost of 14, lower than most pistols as well as being the lowest out of any rifle in the game."
35,All-American,9,2, 6, 5900,"The All-American is the unique variant of the semi-automatic Marksman carbine with woodland camouflage, a magazine capacity of 24 and a higher magnification scope. It also bears the distinctive 82nd ""All-American"" Airborne division insignia."
36,Service rifle,9,2, 8.5, 540,"A semi-automatic medium power rifle, this rifle is chambered in the common 5.56mm cartridge and has a magazine capacity of 20 rounds. The rifle is simple yet well made, and since it requires relatively low strength and Guns skill to use accurately, it makes a very reliable weapon often used by New California Republic troopers."
37,Survivalist's rifle,12,2, 8.5, 5400,"This particular rifle once belonged to Randall Clark, an ex-U.S. Army soldier who sought refuge in Zion National Park after the Great War. The rifle was used by the Survivalist for decades, evident by the heavy wear and sun damage on the wood and metal of the gun. It also show signs of improvised repairs, such as the foregrip wood being made from mismatched furniture wood held in place with metal clamps.[1] The barrel is noticeably shorter than a typical service rifle, and the front sight is bent out of shape. The word ""Arrêt!"" (french for ""Halt!"") is carved into one side of the butt of the gun, with ""Stop!"" on the other."
38,Sniper rifle,2,2, 8, 4100,"The sniper rifle is a semi-automatic rifle, designed primarily as a long-range weapon, it deals reasonable damage, has a scope with 3.5x magnification and very little weapons spread."
39,Christine's CoS silencer rifle,2,2, 5.5, 6100,"It is almost physically identical to a sniper rifle, but with a suppressor already attached. The rifle is also a darker color from the standard variant, and its scope has a slight purple hue. It has the highest damage per shot of the .308 weapons in the game. In addition, it has a high DPS, a weight of 5.5 pounds (only slightly heavier than a handful of one-handed guns) and high critical multiplier. Like most unique weapons, it cannot be modified. Due to its low weapon health of 85, it degrades somewhat quickly. The scope of this weapon has a 3.5x magnification."
40,Gobi Campaign scout rifle,2,2, 4.5, 6200,"The Gobi Campaign scout rifle is a unique sniper rifle that was used by the United States Armed Forces in the Gobi Desert military campaign in China before the Great War. The scout rifle is coated in a desert camouflage with a black rubber eye-piece on the scope and comes pre-equipped with an extended magazine, a slightly shorter barrel and a maintenance kit stored in the stock.[1] Its condition deteriorates more slowly than standard sniper rifles."
41,Trail carbine,4,2, 5.5, 3900,"The trail carbine features a good ammunition capacity, great balance of damage and damage-per-second (DPS), brisk rate of fire, and high accuracy. The weapon is also inexpensive to repair, and incredibly durable, withstanding 2495 shots before breaking. Its tubular magazine is reloaded by hand one round at a time, as such it can be interrupted mid-way through reloading and fired if needed."
42,Varmint rifle,9,2, 5.5, 75,"The varmint rifle is a low-powered hunting rifle, designed for hunting varmint and small game such as geckos. It utilizes a magazine-fed bolt-action system and is chambered for 5.56mm caliber rounds."
43,Ratslayer,9,2, 4.5, 2000,"Ratslayer has a black synthetic stock instead of the standard wood, parts that appear to be made from stainless steel, and has 69 tally marks on the stock next to an image of a mole rat's skull."
44,.45 Auto submachine gun,5,3, 11, 3750,"The .45 Auto submachine gun (SMG) is an old two-handed automatic weapon that was stored in U.S. Army and National Guard armories at the time of the war. A large number of them have surfaced after these armories were breached by looters after the war, most notably the White Legs, for whom the .45 SMG has become a signature weapon."
45,9mm submachine gun,10,3, 4, 850,"The 9mm submachine gun is a small, yet capable weapon, able to empty a full magazine in under 3 seconds. The 9mm rounds are common and lightweight, making it even easier to spray-and-pray."
46,Vance's 9mm submachine gun,10,3, 4, 1500,"Vance's 9mm SMG has several differences from the standard 9mm SMG. First and foremost, it does more damage, the damage-per-second is higher, and it has a drum magazine with a greater capacity. Aesthetically, it is in pristine condition with wood or Bakelite grip panels, lacks a stock, and has a different Express-type iron sight."
47,10mm submachine gun,11,3, 5, 2370,"The 10mm submachine gun (SMG) is a one handed automatic weapon. Although the in-game description for the 10mm SMG lists a high damage-per-second (DPS), it shares the common weakness of most shotguns and automatic weapons in Fallout: New Vegas in that much of its theoretical power is negated by the damage threshold system. In addition to losing much of its damage, the high spread of this weapon requires the player character to be at close ranges for all of the rounds fired to impact on the target."
48,Sleepytyme,11,3, 5, 8250,"The 10mm SMG has a proud history in the wasteland, and this variant continues that tradition of excellence. Its integrated suppressor makes it accurate and deathly quiet. Other modifications boost damage and slightly raise the rate of fire, making this weapon a covert powerhouse. It has also been painted a sleek black color compared to its regular cousin. "
49,12.7mm submachine gun,12,3, 5, 5100,"More common at higher levels, the 12.7mm submachine gun is a heavy-duty large caliber submachine gun (SMG). It features an unconventional top-mounted magazine, which lies parallel to the weapon's barrel. It boasts a high damage-per-second, but suffers from a small magazine capacity and a fairly large spread, though this spread is still less than that of the 10mm SMG (as of patch 1.3.0.452). It is also one of only three fully automatic weapons which are capable of being silenced, (the silencer is not to be confused with the 12.7mm pistol silencer, as they are not interchangeable), the others being the silenced .22 SMG and Sleepytyme (GRA)."
50,H&H Tools nail gun,0,3, 4, 5000,"The H&H Tools nail gun was a tool created by H&H Tool Company, now re-purposed as a fully-automatic weapon. It has a layout comparable to a 9mm SMG, with a yellow color. It is fairly common, but has an extremely high resale value. It does double damage to limbs, and although it is a semi silenced weapon, it will still draw attention if fired in close crowds."
51,Silenced .22 SMG,1,3, 8, 1850,"The silenced .22 SMG is a distinctive weapon with its unusual pan magazine, which sits atop the gun rather than under. The silencer is integrated into the barrel with no modifications required."
52,Caravan shotgun,14,4, 3, 675,"This is a double-barreled shotgun that sports barrels mounted in an over-and-under configuration. It features several signs of wear and decay following extensive use in the desert, and has been maintained in a makeshift manner. This is especially clear around the buttstock, where the shoulder pad has been secured with flexible, thin metal strips and duct-tape. The rusting barrels are kept together with zip-ties and scraps of tightly-wrapped leather. Furthermore, they appear to have been sawed-off."
53,Sturdy caravan shotgun,14,4, 3, 875,"This weapon is an ""over-and-under"" shotgun with a pattern/logo cut into the stock and an engraving of two birds on the frame. Despite its rough appearance this caravan shotgun is extremely durable, with more than twice the item health of a normal caravan shotgun, hence the name. There is some sort of tally mark scratched into both the back of the gun and beside the trigger. The gun is duct-taped at its butt and at a crack in the wood closest to the barrel."
54,Hunting shotgun,13,4, 7.5, 3800,"The hunting shotgun was built for greater range and power over similar shotguns. Using the less common but more powerful 12 gauge shells, the hunting shotgun is designed to be the mid-to-end game shotgun class weapon, only outclassed by the riot shotgun."
55,Dinner Bell,13,4, 7.5, 4800,"Dinner Bell is a unique variant of the hunting shotgun. It differs in appearance to the standard shotgun with the metal of the barrel, receiver, and shell ejection port seem to appear to be more well-maintained, and that the stock and pump are synthetic with a camouflage pattern."
56,Lever-action shotgun,14,4, 3, 2000,"Adding to the variety of shotguns found in Fallout: New Vegas, this shotgun has a lever-action (similar to the cowboy repeater) and fires a 20 gauge shotgun shell. It has the highest damage-per-second of all 20-gauge shotguns. The only real disadvantages to the lever-action are the ammunition capacity and the fact that it must be single-loaded instead of feeding from a detachable magazine. Additionally, the time it takes for the player to open up and close the lever action at the start and end of the reloading cycle takes an extraordinarily long time, meaning that attempting to load and fire individual shells will reduce the effective fire rate significantly."
57,Riot shotgun,13,4, 5, 5500,"The riot shotgun is a semi-automatic shotgun with a drum magazine. It has a high damage-per-second, due in part to its large ammunition capacity when compared to other shotguns, and its high rate of fire. With the Shotgun Surgeon and And Stay Back perks, it can be a very devastating weapon in close quarters combat. It also reloads much faster than any other shotgun and therefore can change ammunition types very quickly. It also has the distinction of having the lowest Action point cost of all shotguns at 17 AP per shot which is comparable to some pistols, making it very useful for VATS dependent player characters."
58,Sawed-off shotgun,13,4, 4, 1950,"The sawed-off shotgun is a break action, 12 gauge shotgun with most of the original barrel and stock removed to make it smaller and more easily concealed at the expense of range. Pulling the trigger fires both barrels at once, unleashing 14 pellets instead of the typical 7. While its damage-per-second is low, it inflicts incredible burst damage at close range. The shotgun's base damage in Fallout: New Vegas is double that of its counterpart in Fallout 3 - in fact, it inflicts more damage per shot than any other non-unique shotgun (Big Boomer inflicts an extra 20 points), and is second only to the anti-materiel rifle as the most powerful non-unique conventional firearm in the game."
59,Big Boomer,13,4, 4, 2500,"The Big Boomer is a sawed-off shotgun with the same break action, 12 gauge that fires both shells at a time, delivering 14 pellets at a time instead of the typical 7 of other shotguns."
